Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;244,885025024414;59,1560450740159;319,0242;22,46751;13;315,6225;False
2;245,513000488281;49,8803104102612;321,1121;18,71562;13;313,1724;False
3;266,572692871094;93,5378586016595;347,5053;23,7747;13;313,1724;False
4;266,692169189453;93,0878415003419;347,6378;23,85537;13;313,1724;False
5;289,207305908203;84,4316770792007;378,22;22,16916;12;376,0545;False
6;332,038299560547;115,310494965315;433,9893;26,18518;14;416,2417;False
7;415,933410644531;109,699579578638;547;22,73367;13;382,7026;True
8;378,607849121094;88,2931643009186;496,5548;24,76712;13;382,7026;False
9;286,617492675781;131,143964459002;373,1374;27,05771;13;404,2697;False
10;204,915496826172;63,3543042939156;266,1496;21,2131;13;404,2697;False
11;264,718353271484;58,8363039180636;345,2096;23,24469;11;352,3207;False
12;286,580413818359;87,7356034696102;374,3678;23,2182;13;326,0418;False
13;262,812561035156;84,0282725423574;344,4491;17,90305;14;319,5997;False
14;351,397613525391;89,5054106146097;460,8553;23,02448;14;319,5997;False
15;309,710723876953;93,5284224539995;405,6458;21,90546;13;320,7519;False
16;351,864379882813;74,6006998002529;462,7203;19,29666;13;320,7519;False
17;305,118530273438;93,7892805621028;400,2205;19,81281;13;320,7519;False
18;376,413299560547;131,460654205084;493,9108;23,9209;13;320,7519;False
19;357,697998046875;111,504928278551;468,6346;24,88831;10;278,5927;False
20;330,431488037109;86,8195169135928;431,0371;28,6145;10;278,5927;False
21;334,043426513672;108,008757000789;438,187;21,61261;13;314,951;False
22;296,958801269531;71,5681342944503;388,3847;22,68097;13;314,951;False
23;289,212036132813;100,493220332265;376,9357;26,04102;10;278,5927;False
24;332,631683349609;115,742430787534;433,74;29,30682;11;357,9536;False
25;290,272094726563;50,2647932648659;378,3647;25,99438;11;357,9536;False
26;287,066619873047;75,0984488457441;375,6061;21,44818;13;314,951;False
27;227,065353393555;70,8652496255934;295,2678;22,45813;11;357,9536;False
28;227,701324462891;76,8310179233551;292,8102;32,37457;11;357,9536;False
29;289,651763916016;91,9363440483808;378,6362;22,69843;10;331,772;False
30;267,089294433594;91,3904093772173;349,4149;20,11249;10;331,772;False
