Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;6228389;2957128,51755524;1035,541;78,47948;14;290,7521;False
2;5623048;2812736,84089069;932,861;44,44965;13;345,4139;False
3;5596305,5;2869333,8780983;930,0013;65,49579;14;256,5645;False
4;6387349;3207100,2039238;1059,535;56,39264;10;229,5349;False
5;8149001;3330002,46411591;1353,901;84,89063;10;229,5349;False
6;5812886,5;3761985,89305477;964,4495;59,09863;10;229,5349;False
7;6429863,5;3373917,18785858;1066,466;55,06702;10;229,5349;False
8;8162248,5;3062922,35816383;1355,77;78,74036;10;229,5349;False
9;8173968;3193517,28735847;1357,983;83,58862;10;229,5349;False
10;8149428,5;4282004,52462196;1353,619;78,36853;10;229,5349;False
11;8125739;3592958,04163933;1349,889;82,03381;10;229,5349;False
12;6398986,5;3198532,69951096;1061,564;57,5249;10;229,5349;False
13;9625272;4237274,52878437;1600,281;108,9053;10;229,5349;False
14;6584247,5;3745695,06749897;1092,98;51,10022;13;405,438;False
15;9684435;3175727,77941475;1610,036;106,7083;10;229,5349;False
16;8174763;3197212,70306034;1358,023;81,84387;10;229,5349;False
17;6396257,5;2971824,32124023;1061,289;59,69043;10;229,5349;False
18;8175080;3683406,49836464;1358,24;85,02661;10;229,5349;False
19;6407303;3233028,57044716;1062,686;54,66016;10;229,5349;False
20;7264712,5;3597874,2203743;1205,931;66,41943;10;229,5349;False
21;7189882;3414745,59148045;1193,51;66,43604;10;229,5349;False
22;5752192;2224705,60927391;954,5402;61,40308;10;229,5349;False
23;7205204;1877032,44297009;1195,979;65,41235;10;229,5349;False
24;10545547;3720776,98921661;1750;109,9382;10;229,5349;True
25;8101472;2528702,08348808;1345,935;83,52124;10;229,5349;False
26;7271532,5;3133195,07309818;1206,958;65,01245;10;229,5349;False
27;6508832;2921650,37466221;1079,744;57,03857;10;229,5349;False
28;10539437;3232417,93564949;1750;111,198;13;264,9137;True
29;6394186;3986957,91771679;1062,035;59,65796;13;264,9137;False
30;8038989;3082320,91282673;1335,397;67,05713;12;329,1081;False
