Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;64674652;4532754,05;401,4001;25,54258;14;324,4841;False
2;101909472;27151484,1;467,0939;20,39821;14;366,9536;False
3;147757280;63753356,85;528,6675;28,28802;14;324,4841;False
4;164067936;55776338;547;21,16356;14;341,8405;True
5;164067952;78777095,3;547;20,83891;14;341,8405;True
6;189669840;76528299,4;574,556;25,19563;14;341,8405;False
7;164067808;61567652,9;547;23,71291;14;341,8405;True
8;164067904;79986498,3;547;21,82281;14;361,0451;True
9;164067904;86413803,95;547;21,58009;14;366,3711;True
10;212931472;60753554,4;597,1448;26,74725;14;341,6673;False
11;227637584;89607533,8;610,5871;24,27206;14;366,3711;False
12;149282352;63992290,65;530,4802;27,26825;14;366,515;False
13;164067952;89436288,45;547;20,74774;14;362,8904;True
14;164067968;62990891,5;547;20,5871;14;366,0531;True
15;164067968;81505951,85;547;20,49356;14;341,6673;True
16;164068032;79013188,4;547;19,53586;14;366,0531;True
17;164068016;95240517,95;547;19,73651;14;364,5157;True
18;164067920;90931951,45;547;21,4436;14;364,5828;True
19;164067984;67750806,25;547;20,263;14;364,5905;True
20;164067872;53151635,05;547;22,25732;14;366,0531;True
21;189272288;87269408;574,1544;25,81512;14;364,077;False
22;164068016;92209325,7;547;19,86755;14;364,5828;True
23;164068016;75275975,3;547;19,76837;14;366,0531;True
24;164068016;76668945,15;547;19,79504;14;365,6145;True
25;164067968;81124668,65;547;20,39136;14;364,9371;True
26;164068000;89271384;547;20,13934;14;362,2682;True
27;164067808;82391948,35;547;23,93127;14;344,4717;True
28;164068000;76299349;547;20,1189;14;364,6819;True
29;164067776;60538011,9;547;24,54163;14;342,7766;True
30;164067936;56962863,95;547;21,17957;14;366,7415;True
