Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;870003;483523,3;931,0231;52,4648;13;305,2607;False
2;888083;620399,8;941,1075;49,99998;11;398,5598;False
3;881467;551031,65;937,1592;70;11;303,4855;False
4;884548;571489,7;938,8014;70,00003;11;303,4855;False
5;1119142;734545,25;1056,571;50;12;348,8943;False
6;873387;699390,2;933,1597;50;13;361,5665;False
7;1120205;631888,2;1056,885;55;11;304,5001;False
8;1119378;759488,25;1056,493;55;11;304,2244;False
9;1135001;655442,25;1063,861;80;13;306,5812;False
10;1119013;730823,35;1056,321;80;13;306,5812;False
11;1147151;864657,6;1069,557;85;13;306,5812;False
12;1822502;982651,1;1348,741;75;11;292,412;False
13;1159019;875145,85;1074,905;85;11;266,532;False
14;1158978;927301,7;1074,885;85;11;266,532;False
15;1167558;975481,85;1078,869;85;11;266,532;False
16;1154761;945318,9;1072,922;85;11;266,532;False
17;1158987;976926,1;1074,89;80;11;266,532;False
18;1165772;991389,7;1078,041;80;12;277,157;False
19;1156053;874126,85;1073,524;80;11;266,532;False
20;1153217;975362,45;1072,202;80;12;277,157;False
21;1163840;978745,05;1077,145;80;11;266,8608;False
22;1161833;1029309,9;1076,213;85;12;277,157;False
23;1166701;951108,05;1078,565;80;11;286,4974;False
24;1149651;970091,95;1070,725;80;12;297,5259;False
25;1157156;853230,05;1074,224;80;12;296,4269;False
26;1151973;870842,1;1071,715;80;12;292,5628;False
27;1154600;947750,45;1072,847;85;11;276,2369;False
28;1173513;962130,45;1081,625;80;12;277,3587;False
29;1159952;953883,7;1075,339;80;12;277,3587;False
30;1167273;1042254,9;1078,737;80;11;276,2369;False
