Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;865336;297521,65;928,2834;55,69102;12;325,428;False
2;1113114;681932,2;1054,037;55,09259;13;389,1778;False
3;1138206;694193;1065,642;68,96431;14;362,994;False
4;1166108;705984,9;1074,586;56,99326;13;222,3318;False
5;1181749;726325,2;1081,839;48,95535;13;222,3318;False
6;2181178;819445,95;1475,304;81,71185;14;299,446;False
7;3467155;989890;1750;98,58392;14;299,446;True
8;3467155;909408,6;1750;97,31866;14;299,446;True
9;3467155;1158314,15;1750;100,992;14;299,446;True
10;3467155;1332904,65;1750;107,2633;14;299,446;True
11;3467155;1571687,4;1750;98,6239;14;299,446;True
12;3467213;1433992,25;1750;95,07825;14;298,2105;True
13;3467213;1433391,9;1750;101,2806;14;298,2105;True
14;3467213;1523078,25;1750;95,46765;14;298,2105;True
15;3467213;1892012,95;1750;97,68933;14;298,2105;True
16;3467882;1732009,45;1750;107,7701;14;285,2965;True
17;3467213;2089010,6;1750;96,70801;14;298,2105;True
18;3467213;2210452,7;1750;102,7642;14;298,2105;True
19;3467226;1414472,7;1750;98,02783;14;297,9269;True
20;3467296;1924356;1750;106,5549;14;296,4696;True
21;3467342;1603067,85;1750;98,93677;14;295,5356;True
22;3467342;1908685,15;1750;107,1851;14;295,5356;True
23;3467342;1502716,55;1750;93,14014;14;295,5356;True
24;3467259;1619095,1;1750;97,34033;14;297,2368;True
25;3467259;1649170,7;1750;94,87988;14;297,2368;True
26;3467342;1966443,1;1750;91,64429;14;295,5356;True
27;3467342;2414895,5;1750;93,87427;14;295,5356;True
28;3467395;1962148,15;1750;96,25049;14;294,4737;True
29;3467382;2324850,75;1750;99,96802;14;294,7288;True
30;3467342;2039032,4;1750;95,49146;14;295,5356;True
