Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;7263;4423,35;1,957763;3,383747;12;258,211;False
2;7831;5875,5;12,04912;5,232073;12;253,3537;False
3;12983;7108,25;67,93112;13,16331;13;246,2656;False
4;11399;7963,95;23,15435;5,803787;13;225,7575;False
5;25586;9586,3;113,7066;20,57569;13;214,5468;False
6;14118;9004,05;38,23021;8,723854;13;214,5468;False
7;14285;9489,25;63,64998;10,28384;12;230,2967;False
8;17281;10078,55;64,28254;10,84253;13;211,8355;False
9;18634;11005,45;84,98657;16,72493;12;222,0799;False
10;17400;11990,8;68,41959;9,87442;13;214,1947;False
11;16968;13155,7;71,14262;17,14871;12;218,9578;False
12;17970;13615,25;68,44567;14,44128;13;211,1043;False
13;17374;12751,1;68,23441;12,27885;13;214,1947;False
14;16300;13075,95;53,85555;11,1499;12;210,5028;False
15;19440;13739,05;82,50183;19,68459;13;214,6773;False
16;17246;13268,55;67,98586;14,49622;13;214,7305;False
17;19013;14386,8;78,93692;14,76556;13;213,8423;False
18;21221;14373,7;92,21014;17,42392;13;214,1947;False
19;23009;14038,95;101,4417;17,17068;13;214,1947;False
20;22998;14377,95;101,3884;16,60779;13;214,1947;False
21;20023;15775,9;84,64837;13,58496;13;213,4211;False
22;22451;15629,3;98,66478;19,67276;13;214,2072;False
23;19603;15971,35;81,4222;13,70615;13;212,7849;False
24;19969;15479,05;85,33863;15,18491;13;214,3783;False
25;21958;14767,9;96,12167;20,07608;13;214,1947;False
26;21243;14714,4;92,32826;15,4108;13;214,1947;False
27;34254;15890,4;146,7492;32,21881;13;214,1947;False
28;22224;15705,05;97,68224;16,48486;13;214,397;False
29;22608;16368,15;98,63361;19,9212;13;213,303;False
30;19583;15936,4;82,99248;15,2196;13;214,3284;False
