Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;384,327056884766;22,4535366078839;78,73288;32,76554;13;347,3925;False
2;375,921966552734;88,8955141805112;78,29854;30;13;347,3925;False
3;376,851837158203;98,9437900563702;78,34457;20;13;346,0613;False
4;767,869750976563;125,903911171667;93,6073;30,00002;13;347,8576;False
5;837,027770996094;248,317303335667;95,64804;40;13;344,6014;False
6;1311,65881347656;246,397947812825;107,0161;40;13;344,6014;False
7;1517,27600097656;200,705285879225;110,9835;30;13;345,4563;False
8;2524,029296875;366,479165538214;126,0427;30;13;345,4563;False
9;1482,27648925781;301,875194799528;110,3378;30;13;345,8696;False
10;874,169250488281;193,879806251451;96,68903;20;13;345,4753;False
11;837,325927734375;150,433603405766;95,65596;30;12;344,3683;False
12;2273,916015625;279,881252953783;122,7977;50;13;346,111;False
13;1476,685546875;329,574106011167;110,2342;39,99994;13;344,7857;False
14;901,825988769531;122,658426844887;97,44727;30;13;344,846;False
15;1510,63073730469;308,777863094211;110,8623;40;13;345,7732;False
16;1506,23828125;394,553153014183;110,7817;40;13;346,0969;False
17;2764,08178710938;357,631336502731;128,9389;40;13;344,7867;False
18;1510,79699707031;251,977322612517;110,8648;30;13;347,9054;False
19;2240,24877929688;428,311143374443;122,3398;30;13;344,4764;False
20;1486,19519042969;325,557046337426;110,4113;40;12;344,944;False
21;1486,1123046875;296,189903169125;110,4097;40;13;349,1367;False
22;1556,08081054688;362,177060312778;111,687;40;13;349,1367;False
23;3349,48901367188;407,16902077198;135,2825;40;13;349,6938;False
24;1554,54357910156;408,656059216522;111,6588;30;13;348,1577;False
25;3672,80615234375;1051,47630192041;138,4352;40;13;349,3972;False
26;2998,75390625;640,095895775408;131,5927;40;12;347,7901;False
27;3317,3876953125;1363,24093339425;134,9572;40;12;348,1065;False
28;3675,77709960938;916,328033530712;138,4632;40;12;348,1065;False
29;12394,12890625;1569,47642827332;187,6301;40;12;347,9604;False
30;6018,9033203125;1490,59452748094;156,631;50;12;347,7901;False
31;12643,0654296875;2279,76399753541;188,5654;50;11;346,5024;False
32;19838,58203125;2510,47331007458;211,0459;50;11;346,5024;False
33;7438,765625;1380,38905698881;165,148;40;11;346,3529;False
34;19246,947265625;3512,46446957588;209,4546;60;10;344,1395;False
35;9052,8662109375;2318,97914476749;173,4582;40;11;347,2825;False
36;29276,625;4824,25514390171;232,6108;70;11;347,2825;False
37;1199850,75;64514,046235255;588,5479;110;11;347,2825;False
38;270881,4375;16676,2767047444;405,6904;110;11;347,9799;False
39;169615,453125;13789,2279277908;360,8829;90;11;347,9799;False
40;21710,732421875;4397,03569017537;215,858;70;11;347,9799;False
41;43889,734375;8472,07566893697;257,3893;70;11;347,8037;False
42;46465,5;7011,05994843729;261,0853;90;11;349,6653;False
43;37253,359375;4344,03942899853;247,0535;70;11;349,1961;False
44;32823,27734375;5446,01248116717;239,3565;70,00024;11;349,2691;False
45;16611,109375;3112,38315418586;201,8827;60;11;347,9652;False
46;37223,46875;5394,25699200984;247,004;80;11;349,0385;False
47;120304,90625;9587,44901251197;331,1851;90;11;349,5749;False
48;12287,7060546875;2351,32735040467;187,2263;60;11;349,5519;False
49;144985,515625;10581,8159417629;347,0013;80;11;349,8709;False
50;1082690,75;59700,7190177813;573,6224;110;11;349,8709;False
51;173406,953125;14424,5059879238;362,8829;90;11;348,9134;False
