Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2,93553799136543E+17;3,26621283013987E+16;66,46034;14,65576;13;310,501;False
2;2,82331032412226E+17;7,39356382729339E+16;65,60237;10,95056;11;294,2061;False
3;4,98077805309854E+17;1,3617882830943E+17;79,26821;14,8776;10;293,2482;False
4;7,82815651495412E+17;1,5845752647141E+17;92,16227;12,09087;13;321,6212;False
5;8,99272555855086E+17;1,47140007225092E+17;96,52292;14,80283;12;319,8685;False
6;8,79363561371992E+17;2,17763847889905E+17;95,80529;17,57663;13;298,3549;False
7;3,30295629446119E+17;1,37187514783682E+17;69,12486;11,08252;14;321,4216;False
8;9,94435699555959E+17;1,89154054113329E+17;99,81418;23,94992;14;325,4602;False
9;5,16758129908646E+17;1,37782901801484E+17;80,24706;13,97897;14;321,4216;False
10;7,87807159407608E+17;1,93122497403971E+17;92,35774;11,57468;14;321,4216;False
11;8,971395032972E+17;1,94829232332236E+17;96,44654;16,27887;14;324,4048;False
12;5,38179296477315E+17;1,08075683608003E+17;81,3409;18,23413;13;323,5422;False
13;1,31449391367481E+18;2,78178988679181E+17;109,5434;26,63577;13;323,5422;False
14;4,38193969654923E+17;1,60886161052434E+17;75,95484;15,79779;13;323,1015;False
15;1,22809965008336E+18;2,81293526400185E+17;107,0889;15,76419;12;322,7756;False
16;8,46627595519787E+17;1,71241231168517E+17;94,60138;10,80371;13;322,9893;False
17;1,18503851413209E+18;2,21961178530185E+17;105,8224;15;13;322,0129;False
18;5,18865412662755E+17;1,37471460584037E+17;80,35599;14,10919;12;322,1159;False
19;3,09524171170251E+17;7,99359788864504E+16;67,64435;12,25946;13;323,3868;False
20;6,16417829490524E+17;1,11436573332984E+17;85,10565;25,26379;12;319,5297;False
21;2,87241039025013E+17;6,73430487871521E+16;65,98048;12,65881;12;323,2935;False
22;5,08895831496065E+17;1,2757762517049E+17;79,838;14,82159;12;320,8885;False
23;5,48764260558176E+17;1,16104058951646E+17;81,87072;17,08441;13;323,6653;False
24;1,00649108864028E+18;1,97344253630874E+17;100,2159;15,23291;13;323,1109;False
25;3,05219411348816E+17;1,12830475759052E+17;67,32929;13,77942;13;322,8288;False
26;1,50939430688706E+18;2,42504256895897E+17;114,7099;23,63165;13;325,677;False
27;1,01141353347835E+18;1,19380470357872E+17;100,379;17,04913;13;323,817;False
28;6,3985137721593E+17;1,22356903507814E+17;86,17072;21,49133;12;325,5005;False
29;8,43863217129128E+17;1,75569848702809E+17;94,49831;19,41846;12;320,5812;False
30;2,94156468947517E+17;7,05672238573027E+16;66,50579;14,79956;13;324,9292;False
31;1,30079743476656E+18;2,43566043114714E+17;109,1616;17,33862;13;326,3142;False
32;5,75744798435049E+17;9,9780334692506E+16;83,19106;23,44116;13;325,5475;False
33;9,47966077558587E+17;2,59082383455053E+17;98,23455;23,51953;13;326,3142;False
34;7,73778696707244E+17;2,12615859494768E+17;91,80625;10,53271;13;325,5475;False
35;1,42608760938535E+18;2,42358106903177E+17;112,5595;18,65955;12;323,893;False
36;1,25798849929491E+18;2,03065223071295E+17;107,9507;18,88696;13;325,5475;False
37;1,22585637148479E+18;2,62685700370321E+17;107,0237;22,33411;12;323,3568;False
38;8,99990949264884E+17;2,19587613969036E+17;96,54861;15,52307;12;322,7888;False
39;2,02233860891607E+18;2,69982189499816E+17;126,4594;19,20654;12;322,0258;False
40;8,68148817646584E+17;1,9196090816607E+17;95,39627;24,38184;12;324,9091;False
41;1,2338114755507E+18;2,35462124216779E+17;107,2547;22,55127;13;324,276;False
42;9,14987875550888E+17;1,87478746391485E+17;97,08194;18,44958;12;321,1409;False
43;5,23958453601829E+17;1,91173846361846E+17;80,61805;22,60193;12;321,1409;False
44;9,27597418495607E+17;2,94850500396843E+17;97,52587;28,06042;13;323,606;False
45;8,07085583972172E+17;2,09476184006302E+17;93,10504;20,12476;12;325,5461;False
46;1,40994746588437E+18;2,47218550023066E+17;112,1332;11,83838;12;320,7303;False
47;7,32707676802253E+17;1,74382834556233E+17;90,15232;24,66052;12;326,5258;False
48;9,25034869208121E+17;1,89255401521493E+17;97,43598;24,53088;12;324,6816;False
49;1,18066314504831E+18;2,23672624290254E+17;105,692;25,51001;12;327,1298;False
50;8,36846271359615E+17;1,61910058205892E+17;94,23565;17,38477;11;324,8923;False
51;5,85208810411393E+17;2,30797339660458E+17;83,64442;21,92676;13;325,9951;False
52;4,21593508739023E+17;1,31243241903017E+17;74,98331;19,7522;13;329,4908;False
53;9,78471890232279E+17;2,49005699705602E+17;99,27718;24,2124;12;325,0165;False
54;4,90171663871115E+17;1,72758430521701E+17;78,84656;17,45044;10;322,9911;False
55;9,27087863575609E+17;2,26538272681309E+17;97,50801;23,10681;12;324,4789;False
56;1,19613203670054E+18;1,82064513842414E+17;106,1516;17,3064;12;326,627;False
57;1,19161634244526E+18;2,30746616432794E+17;106,0178;24,01147;12;326,3034;False
58;8,05755587219423E+17;2,71964790769005E+17;93,05387;19,14746;12;326,4908;False
59;9,44445303887495E+17;3,08792728737127E+17;98,11279;23,7876;12;328,0676;False
60;1,18882578193397E+18;2,91037973295032E+17;105,935;27,7981;12;327,3522;False
61;9,2602147473562E+17;2,33346518237995E+17;97,47061;20,01172;12;326,6678;False
62;1,84705721399509E+18;3,34814584118444E+17;122,695;20,88623;12;327,0526;False
63;1,25086517577541E+18;3,40821695542342E+17;107,7466;15,65332;13;328,1398;False
64;1,18716620657079E+18;2,45335965000375E+17;105,8857;20,02563;12;328,1338;False
65;1,19337968421831E+18;3,00098894430208E+17;106,0701;21,43164;13;328,615;False
66;9,65070355318178E+17;3,38398707644472E+17;98,82185;23,37354;13;328,1435;False
67;1,96056089884203E+18;5,22296833619473E+17;125,1584;19,6416;12;327,8471;False
