Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;55,9826965332031;10,3759888768196;435,8743;25,60544;11;309,672;False
2;59,2575607299805;15,0294511765242;436,7994;22,68801;11;310,2753;False
3;75,7340469360352;28,9633008718491;495,4568;24,26836;11;310,2753;False
4;83,0513916015625;34,1025867462158;529,4993;27,67702;11;309,3443;False
5;68,168083190918;39,2972815990448;469,3744;23,51772;11;308,0097;False
6;61,0309982299805;30,1210266649723;438,8844;21,76106;11;310,7213;False
7;169,621276855469;40,501483631134;547;25,02748;11;310,2716;True
8;61,6491851806641;29,9036486387253;462,8144;23,24353;10;307,6804;False
9;162,150985717773;36,1276059865952;547;28,50116;11;311,0337;True
10;63,9344367980957;29,2519232869148;465,2185;26,08502;11;309,4722;False
11;67,983268737793;28,2263030529022;464,5982;22,52411;11;308,7176;False
12;186,527465820313;39,1239659309387;547;22,41635;12;306,8192;True
13;76,3696365356445;26,7538967192173;466,7903;24,56097;13;309,5117;False
14;50,0698204040527;26,2393015027046;376,6421;19,83652;12;314,3542;False
15;57,2536811828613;27,3623829126358;435,9636;24,30035;11;308,0448;False
16;78,9560317993164;35,3999807834625;492,9334;25,27393;12;309,6879;False
17;168,922164916992;34,9145113110542;547;25,31354;11;311,2922;True
18;80,8271331787109;24,3350167393684;495,5911;21,15289;11;311,2503;False
19;66,8236465454102;30,8613281071186;432,7365;17,1601;11;309,8532;False
20;189,428314208984;48,1062299489975;547;21,5625;12;309,2086;True
21;70,8576812744141;40,1090675592422;464,1429;24,06165;12;311,1105;False
22;68,0404739379883;26,5319091081619;436,7723;19,84027;12;312,3006;False
23;74,6367416381836;32,2592730164528;468,69;22,42651;12;312,3006;False
24;90,121208190918;41,2977773547173;498,6923;20,04309;12;313,0809;False
25;80,5937347412109;42,345726954937;493,9737;24,34625;12;310,564;False
26;89,1760559082031;37,5588868141174;498,271;20,39423;12;311,3941;False
27;62,0913200378418;30,7411377668381;421,7152;20,58466;12;312,9019;False
28;197,626800537109;44,1994767904282;547;19,49121;12;311,9918;True
29;86,1215972900391;33,6321275770664;496,6278;21,58594;12;311,5917;False
30;84,2280960083008;33,5483583927155;494,2987;22,14178;12;308,0931;False
