Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;525,82568359375;189,711685925722;938,0296;46,6033;12;341,0552;False
2;519,69384765625;218,729273539782;928,0076;49,4166;13;393,1445;False
3;576,020812988281;416,472715044022;920,2866;39,09103;12;338,8727;False
4;689,355163574219;377,214381080866;1057,177;48,42493;12;338,8727;False
5;681,565307617188;453,586668992043;1063,845;50,26721;12;338,8763;False
6;691,537170410156;397,814591062069;1057,907;49,93378;13;340,976;False
7;680,479309082031;472,207771754265;1063,189;51,9942;13;340,976;False
8;683,53173828125;480,337641298771;1073,2;51,64423;12;338,8763;False
9;656,726867675781;452,235048282146;1070,667;54,25348;12;339,2279;False
10;638,238708496094;466,396745300293;1065,717;56,32111;11;393,4169;False
11;631,985107421875;504,471269035339;1067,364;58,97583;13;340,976;False
12;684,577453613281;555,97341003418;1077,274;54,5802;12;391,9403;False
13;624,000244140625;537,750593566895;1054,467;55,99524;11;393,9089;False
