Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;125087;12370,7;49,32149;13,28185;14;291,1;False
2;500423;83377,6;79,11067;12,13952;14;290,632;False
3;345995;81450,1;69,85306;14,89011;14;291,1;False
4;531634;117978,55;80,74078;16,53673;14;288,9362;False
5;249641;70552,55;62,51453;8,819221;14;290,9839;False
6;586680;151535;83,47047;20,0554;14;291,3756;False
7;850505;81926,4;94,5527;18,71255;14;290,9684;False
8;1103746;211085,5;103,1861;16,16397;14;294,999;False
9;1014845;325368,3;100,3184;18,86243;14;289,8033;False
10;1343522;260866,9;110,1953;15,68669;14;289,8033;False
11;3506058;356061,25;151,8385;26,79868;14;287,234;False
12;565712;215307;82,44349;20,69426;14;286,8488;False
13;1245652;202610;107,4417;16,67621;14;289,5042;False
14;551785;130555,05;81,74951;14,72223;14;286,5012;False
15;927189;213225,15;97,31452;12,03052;14;288,7123;False
16;546214;201528,7;81,48116;15,24442;14;290,0983;False
17;1265979;292054,45;108,0262;18,34009;14;289,016;False
18;566483;204409,35;82,47755;19,09442;14;285,7498;False
19;2167320;356523,25;129,3043;17,7735;14;290,8456;False
20;351122;100328,75;70,17151;11,02661;14;285,0315;False
21;277755;117416,75;64,81287;10,94656;14;286,0996;False
22;312838;129077,7;67,48833;13,92657;14;285,7057;False
23;349938;142706,55;70,10777;16,34106;14;287,024;False
24;540331;141454;81,17982;21,57892;14;286,8169;False
25;859237;186050,15;94,85439;10,73608;14;287,2778;False
26;1235887;240232,7;107,1483;12,599;14;287,5681;False
27;762278;126755,45;91,13502;18,15198;14;287,8427;False
28;505800;160849,4;79,39572;17,05383;14;288,0392;False
29;745380;84021,9;90,46514;17,55133;14;294,2948;False
30;754803;175668,35;90,84653;18,34631;14;293,6526;False
